Exchange,Symbol,Name,Sector
NMS,REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare
NYQ,TGT,Target Corporation,Consumer Defensive
NMS,MRNA,"Moderna, Inc.",Healthcare
NYQ,PGR,Progressive Corporation (The),Financial Services
NYQ,EOG,"EOG Resources, Inc.",Energy
NYQ,ZTS,Zoetis Inc.,Healthcare
NYQ,MPC,Marathon Petroleum Corporation,Energy
NYQ,SO,Southern Company (The),Utilities
NYQ,ITW,Illinois Tool Works Inc.,Industrials
NYQ,BDX,"Becton, Dickinson and Company",Healthcare
NMS,CSX,CSX Corporation,Industrials
NYQ,NOC,Northrop Grumman Corporation,Industrials
NYQ,USB,U.S. Bancorp,Financial Services
NYQ,MMM,3M Company,Industrials
NMS,CHTR,"Charter Communications, Inc.",Communication Services
NMS,FISV,"Fiserv, Inc.",Technology
NYQ,PNC,"PNC Financial Services Group, I",Financial Services
NYQ,APD,"Air Products and Chemicals, Inc",Basic Materials
NYQ,GD,General Dynamics Corporation,Industrials
NMS,LRCX,Lam Research Corporation,Technology
NYQ,BSX,Boston Scientific Corporation,Healthcare
NYQ,CL,Colgate-Palmolive Company,Consumer Defensive
NYQ,AON,Aon plc,Financial Services
NYQ,SHW,Sherwin-Williams Company (The),Basic Materials
NYQ,CCI,Crown Castle Inc.,Real Estate
NYQ,FCX,"Freeport-McMoRan, Inc.",Basic Materials
NYQ,ETN,"Eaton Corporation, PLC",Industrials
NMS,EQIX,"Equinix, Inc.",Real Estate
NYQ,WM,"Waste Management, Inc.",Industrials
NMS,MU,"Micron Technology, Inc.",Technology
NMS,CME,CME Group Inc.,Financial Services
NMS,KLAC,KLA Corporation,Technology
NYQ,HUM,Humana Inc.,Healthcare
NYQ,TFC,Truist Financial Corporation,Financial Services
NYQ,NSC,Norfolk Southern Corporation,Industrials
NYQ,ICE,Intercontinental Exchange Inc.,Financial Services
NYQ,OXY,Occidental Petroleum Corporatio,Energy
NYQ,MET,"MetLife, Inc.",Financial Services
NYQ,MCK,McKesson Corporation,Healthcare
NMS,ATVI,"Activision Blizzard, Inc",Communication Services
NYQ,MCO,Moody's Corporation,Financial Services
NYQ,PXD,Pioneer Natural Resources Compa,Energy
NYQ,VLO,Valero Energy Corporation,Energy
NMS,ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical
NYQ,EMR,Emerson Electric Company,Industrials
NMS,MNST,Monster Beverage Corporation,Consumer Defensive
NYQ,DG,Dollar General Corporation,Consumer Defensive
NYQ,GM,General Motors Company,Consumer Cyclical
NMS,MAR,Marriott International,Consumer Cyclical
NMS,KHC,The Kraft Heinz Company,Consumer Defensive
NMS,SNPS,"Synopsys, Inc.",Technology
NYQ,SRE,DBA Sempra,Utilities
NYQ,PSA,Public Storage,Real Estate
NMS,KDP,Keurig Dr Pepper Inc.,Consumer Defensive
NYQ,D,"Dominion Energy, Inc.",Utilities
NYQ,F,Ford Motor Company,Consumer Cyclical
NYQ,FDX,FedEx Corporation,Industrials
NYQ,GIS,"General Mills, Inc.",Consumer Defensive
NYQ,EW,Edwards Lifesciences Corporatio,Healthcare
NMS,AEP,American Electric Power Company,Utilities
NYQ,ADM,Archer-Daniels-Midland Company,Consumer Defensive
NYQ,APH,Amphenol Corporation,Technology
NYQ,JCI,Johnson Controls International ,Industrials
NMS,CDNS,"Cadence Design Systems, Inc.",Technology
NYQ,AIG,"American International Group, I",Financial Services
NYQ,HES,Hess Corporation,Energy
NYQ,ROP,"Roper Technologies, Inc.",Industrials
NYQ,HSY,The Hershey Company,Consumer Defensive
NMS,CTAS,Cintas Corporation,Industrials
NYQ,KMB,Kimberly-Clark Corporation,Consumer Defensive
NYQ,A,"Agilent Technologies, Inc.",Healthcare
NYQ,AFL,AFLAC Incorporated,Financial Services
NYQ,CTVA,"Corteva, Inc.",Basic Materials
NYQ,TRV,"The Travelers Companies, Inc.",Financial Services
NMS,NXPI,NXP Semiconductors N.V.,Technology
NYQ,PSX,Phillips 66,Energy
NYQ,MSI,"Motorola Solutions, Inc.",Technology
NYQ,NUE,Nucor Corporation,Basic Materials
NYQ,AZO,"AutoZone, Inc.",Consumer Cyclical
NYQ,ECL,Ecolab Inc.,Basic Materials
NYQ,CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical
NYQ,FIS,Fidelity National Information S,Technology
NYQ,CNC,Centene Corporation,Healthcare
NMS,ADSK,"Autodesk, Inc.",Technology
NYQ,DVN,Devon Energy Corporation,Energy
NMS,PAYX,"Paychex, Inc.",Industrials
NYQ,TT,Trane Technologies plc,Industrials
NYQ,KMI,"Kinder Morgan, Inc.",Energy
NYQ,DOW,Dow Inc.,Basic Materials
NYQ,IQV,"IQVIA Holdings, Inc.",Healthcare
NMS,ROST,"Ross Stores, Inc.",Consumer Cyclical
NMS,EXC,Exelon Corporation,Utilities
NYQ,MSCI,MSCI Inc,Financial Services
NYQ,STZ,"Constellation Brands, Inc.",Consumer Defensive
NYQ,NEM,Newmont Corporation,Basic Materials
NMS,BIIB,Biogen Inc.,Healthcare
NYQ,LVS,Las Vegas Sands Corp.,Consumer Cyclical
NMS,MCHP,Microchip Technology Incorporat,Technology
NYQ,AJG,Arthur J. Gallagher & Co.,Financial Services
NYQ,SPG,"Simon Property Group, Inc.",Real Estate
NYQ,SYY,Sysco Corporation,Consumer Defensive
NMS,IDXX,"IDEXX Laboratories, Inc.",Healthcare
NYQ,TEL,TE Connectivity Ltd. New Switze,Technology
NYQ,PH,Parker-Hannifin Corporation,Industrials
NYQ,BK,The Bank of New York Mellon Cor,Financial Services
NYQ,RSG,"Republic Services, Inc.",Industrials
NYQ,WMB,"Williams Companies, Inc. (The)",Energy
NYQ,COF,Capital One Financial Corporati,Financial Services
NYQ,DD,"DuPont de Nemours, Inc.",Basic Materials
NMS,XEL,Xcel Energy Inc.,Utilities
NYQ,PRU,"Prudential Financial, Inc.",Financial Services
NYQ,YUM,"Yum! Brands, Inc.",Consumer Cyclical
NYQ,LHX,"L3Harris Technologies, Inc.",Industrials
NYQ,HAL,Halliburton Company,Energy
NYQ,CARR,Carrier Global Corporation,Industrials
NYQ,HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical
NYQ,O,Realty Income Corporation,Real Estate
NYQ,TDG,Transdigm Group Incorporated,Industrials
NMS,ODFL,"Old Dominion Freight Line, Inc.",Industrials
NYQ,ALL,Allstate Corporation (The),Financial Services
NYQ,AMP,"Ameriprise Financial, Inc.",Financial Services
NYQ,ANET,"Arista Networks, Inc.",Technology
NYQ,PCG,Pacific Gas & Electric Co.,Utilities
NYQ,CMI,Cummins Inc.,Industrials
NMS,PCAR,PACCAR Inc.,Industrials
NYQ,OTIS,Otis Worldwide Corporation,Industrials
NYQ,MTD,"Mettler-Toledo International, I",Healthcare
NMS,EA,Electronic Arts Inc.,Communication Services
NYQ,DHI,"D.R. Horton, Inc.",Consumer Cyclical
NYQ,KR,Kroger Company (The),Consumer Defensive
NGM,ENPH,"Enphase Energy, Inc.",Technology
NYQ,KEYS,Keysight Technologies Inc.,Technology
NYQ,ED,"Consolidated Edison, Inc.",Utilities
NMS,CTSH,Cognizant Technology Solutions ,Technology
NMS,DLTR,"Dollar Tree, Inc.",Consumer Defensive
NYQ,AME,"AMETEK, Inc.",Industrials
NYQ,ABC,AmerisourceBergen Corporation,Healthcare
NMS,SBAC,SBA Communications Corporation,Real Estate
NYQ,RMD,ResMed Inc.,Healthcare
NYQ,ROK,"Rockwell Automation, Inc.",Industrials
NYQ,BF-B,Brown Forman Inc,Consumer Defensive
NYQ,GPN,Global Payments Inc.,Industrials
NMS,ILMN,"Illumina, Inc.",Healthcare
NYQ,PEG,Public Service Enterprise Group,Utilities
NMS,BKR,Baker Hughes Company,Energy
NMS,CSGP,"CoStar Group, Inc.",Real Estate
NMS,WBA,"Walgreens Boots Alliance, Inc.",Healthcare
NYQ,OKE,"ONEOK, Inc.",Energy
NYQ,WELL,Welltower Inc.,Real Estate
NYQ,PPG,"PPG Industries, Inc.",Basic Materials
NYQ,DFS,Discover Financial Services,Financial Services
NYQ,GLW,Corning Incorporated,Technology
NYQ,LYB,LyondellBasell Industries NV,Basic Materials
NYQ,STT,State Street Corporation,Financial Services
NYQ,DLR,"Digital Realty Trust, Inc.",Real Estate
NYQ,WEC,"WEC Energy Group, Inc.",Utilities
NYQ,LEN,Lennar Corporation,Consumer Cyclical
NYQ,HPQ,HP Inc.,Technology
NYQ,IFF,International Flavors & Fragran,Basic Materials
NYQ,GWW,"W.W. Grainger, Inc.",Industrials
NMS,EBAY,eBay Inc.,Consumer Cyclical
NMS,VRSK,"Verisk Analytics, Inc.",Industrials
NYQ,ES,Eversource Energy (D/B/A),Utilities
NYQ,AWK,"American Water Works Company, I",Utilities
NYQ,ALB,Albemarle Corporation,Basic Materials
NMS,ON,ON Semiconductor Corporation,Technology
NYQ,URI,"United Rentals, Inc.",Industrials
NYQ,APTV,Aptiv PLC,Consumer Cyclical
NMS,FAST,Fastenal Company,Industrials
NYQ,IT,"Gartner, Inc.",Technology
NMS,TROW,"T. Rowe Price Group, Inc.",Financial Services
NMS,ULTA,"Ulta Beauty, Inc.",Consumer Cyclical
NYQ,CBRE,CBRE Group Inc,Real Estate
NMS,CDW,CDW Corporation,Technology
NMS,FANG,"Diamondback Energy, Inc.",Energy
NYQ,EFX,"Equifax, Inc.",Industrials
NYQ,EIX,Edison International,Utilities
NYQ,HIG,Hartford Financial Services Gro,Financial Services
NYQ,ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare
NYQ,ARE,Alexandria Real Estate Equities,Real Estate
NYQ,HRL,Hormel Foods Corporation,Consumer Defensive
NMS,TSCO,Tractor Supply Company,Consumer Cyclical
NYQ,FE,FirstEnergy Corp.,Utilities
NYQ,DAL,"Delta Air Lines, Inc.",Industrials
NYQ,LH,Laboratory Corporation of Ameri,Healthcare
NYQ,VMC,Vulcan Materials Company (Holdi,Basic Materials
NYQ,FTV,Fortive Corporation,Technology
NYQ,RJF,"Raymond James Financial, Inc.",Financial Services
NYQ,GPC,Genuine Parts Company,Consumer Cyclical
NMS,VRSN,"VeriSign, Inc.",Technology
NYQ,AVB,"AvalonBay Communities, Inc.",Real Estate
NYQ,K,Kellogg Company,Consumer Defensive
NYQ,WY,Weyerhaeuser Company,Real Estate
NYQ,TSN,"Tyson Foods, Inc.",Consumer Defensive
NMS,PFG,Principal Financial Group Inc,Financial Services
NMS,ACGL,Arch Capital Group Ltd.,Financial Services
NYQ,FRC,FIRST REPUBLIC BANK,Financial Services
NMS,FITB,Fifth Third Bancorp,Financial Services
NYQ,IR,Ingersoll Rand Inc.,Industrials
NYQ,AEE,Ameren Corporation,Utilities
NYQ,EQR,Equity Residential,Real Estate
NYQ,PPL,PPL Corporation,Utilities
NYQ,DTE,DTE Energy Company,Utilities
NYQ,BAX,Baxter International Inc.,Healthcare
NYQ,MLM,"Martin Marietta Materials, Inc.",Basic Materials
NMS,ANSS,"ANSYS, Inc.",Technology
NYQ,LUV,Southwest Airlines Company,Industrials
NMS,STLD,"Steel Dynamics, Inc.",Basic Materials
NYQ,MKC,"McCormick & Company, Incorporat",Consumer Defensive
NYQ,ETR,Entergy Corporation,Utilities
NYQ,RF,Regions Financial Corporation,Financial Services
NMS,HBAN,Huntington Bancshares Incorpora,Financial Services
NYQ,CHD,"Church & Dwight Company, Inc.",Consumer Defensive
NYQ,VICI,VICI Properties Inc.,Real Estate
NYQ,PWR,"Quanta Services, Inc.",Industrials
NYQ,HPE,Hewlett Packard Enterprise Comp,Technology
NYQ,XYL,Xylem Inc.,Industrials
NYQ,MRO,Marathon Oil Corporation,Energy
NYQ,DOV,Dover Corporation,Industrials
NMS,NTRS,Northern Trust Corporation,Financial Services
NYQ,CTRA,Coterra Energy Inc.,Energy
NYQ,EXR,Extra Space Storage Inc,Real Estate
NYQ,EPAM,"EPAM Systems, Inc.",Technology
NYQ,WAT,Waters Corporation,Healthcare
NYQ,CAH,"Cardinal Health, Inc.",Healthcare
NYQ,STE,STERIS plc (Ireland),Healthcare
NMS,HOLX,"Hologic, Inc.",Healthcare
NYQ,VTR,"Ventas, Inc.",Real Estate
NYQ,CNP,"CenterPoint Energy, Inc (Holdin",Utilities
NYQ,TDY,Teledyne Technologies Incorpora,Technology
NYQ,MTB,M&T Bank Corporation,Financial Services
NYQ,DRI,"Darden Restaurants, Inc.",Consumer Cyclical
NYQ,WAB,Westinghouse Air Brake Technolo,Industrials
NMS,ALGN,"Align Technology, Inc.",Healthcare
NYQ,CAG,"ConAgra Brands, Inc.",Consumer Defensive
NYQ,WRB,W.R. Berkley Corporation,Financial Services
NMS,FSLR,"First Solar, Inc.",Technology
NYQ,INVH,Invitation Homes Inc.,Real Estate
NYQ,GRMN,Garmin Ltd.,Technology
NYQ,WST,"West Pharmaceutical Services, I",Healthcare
NYQ,BBY,"Best Buy Co., Inc.",Consumer Cyclical
NYQ,PAYC,"Paycom Software, Inc.",Technology
NYQ,MAA,Mid-America Apartment Communiti,Real Estate
NMS,MPWR,"Monolithic Power Systems, Inc.",Technology
NMS,JBHT,"J.B. Hunt Transport Services, I",Industrials
NYQ,AES,The AES Corporation,Utilities
NYQ,SYF,Synchrony Financial,Financial Services
NYQ,CMS,CMS Energy Corporation,Utilities
NYQ,ROL,"Rollins, Inc.",Consumer Cyclical
NMS,EXPD,Expeditors International of Was,Industrials
NYQ,MGM,MGM Resorts International,Consumer Cyclical
NYQ,CLX,Clorox Company (The),Consumer Defensive
NYQ,DGX,Quest Diagnostics Incorporated,Healthcare
NYQ,AMCR,Amcor plc,Consumer Cyclical
NYQ,IEX,IDEX Corporation,Industrials
NMS,INCY,Incyte Corporation,Healthcare
NYQ,BALL,Ball Corporation,Consumer Cyclical
NMS,FOX,Fox Corporation,Communication Services
NYQ,OMC,Omnicom Group Inc.,Communication Services
NMS,FOXA,Fox Corporation,Communication Services
NYQ,MOS,Mosaic Company (The),Basic Materials
NYQ,MOH,Molina Healthcare Inc,Healthcare
NYQ,CFG,"Citizens Financial Group, Inc.",Financial Services
NYQ,NVR,"NVR, Inc.",Consumer Cyclical
NYQ,HWM,Howmet Aerospace Inc.,Industrials
NYQ,BRO,"Brown & Brown, Inc.",Financial Services
NYQ,TRGP,"Targa Resources, Inc.",Energy
NMS,CINF,Cincinnati Financial Corporatio,Financial Services
NYQ,LYV,"Live Nation Entertainment, Inc.",Communication Services
NYQ,BR,"Broadridge Financial Solutions,",Technology
NYQ,COO,"The Cooper Companies, Inc.",Healthcare
NMS,SWKS,"Skyworks Solutions, Inc.",Technology
NMS,LKQ,LKQ Corporation,Consumer Cyclical
NYQ,CF,"CF Industries Holdings, Inc.",Basic Materials
NYQ,SJM,J.M. Smucker Company (The) New,Consumer Defensive
NMS,SEDG,"SolarEdge Technologies, Inc.",Technology
NMS,ETSY,"Etsy, Inc.",Consumer Cyclical
NYQ,KEY,KeyCorp,Financial Services
NYQ,PKI,"PerkinElmer, Inc.",Healthcare
NMS,UAL,"United Airlines Holdings, Inc.",Industrials
NYQ,CPB,Campbell Soup Company,Consumer Defensive
NYQ,RCL,D/B/A Royal Caribbean Cruises L,Consumer Cyclical
NYQ,FMC,FMC Corporation,Basic Materials
NYQ,FDS,FactSet Research Systems Inc.,Financial Services
NMS,EXPE,"Expedia Group, Inc.",Consumer Cyclical
NYQ,J,Jacobs Solutions Inc.,Industrials
NYQ,ATO,Atmos Energy Corporation,Utilities
NYQ,FLT,"FleetCor Technologies, Inc.",Technology
NMS,TER,"Teradyne, Inc.",Technology
NMS,ZBRA,Zebra Technologies Corporation,Technology
NYQ,AVY,Avery Dennison Corporation,Industrials
NMS,PTC,PTC Inc.,Technology
NYQ,TXT,Textron Inc.,Industrials
NMS,SIVB,SVB Financial Group,Financial Services
NYQ,IRM,Iron Mountain Incorporated (Del,Real Estate
NYQ,L,Loews Corporation,Financial Services
NMS,CPRT,"Copart, Inc.",Consumer Cyclical
NYQ,BEN,"Franklin Resources, Inc.",Financial Services
NYQ,LW,"Lamb Weston Holdings, Inc.",Consumer Defensive
NYQ,PEAK,"Healthpeak Properties, Inc.",Real Estate
NYQ,IP,International Paper Company,Consumer Cyclical
NMS,APA,APA Corporation,Energy
NYQ,SWK,"Stanley Black & Decker, Inc.",Industrials
NMS,EVRG,"Evergy, Inc.",Utilities
NMS,NTAP,"NetApp, Inc.",Technology
NYQ,ESS,"Essex Property Trust, Inc.",Real Estate
NMS,VTRS,Viatris Inc.,Healthcare
NMS,POOL,Pool Corporation,Industrials
NYQ,CCL,Carnival Corporation,Consumer Cyclical
NMS,NDSN,Nordson Corporation,Industrials
NYQ,IPG,"Interpublic Group of Companies,",Communication Services
NMS,AKAM,"Akamai Technologies, Inc.",Technology
NMS,TRMB,Trimble Inc.,Technology
NMS,LNT,Alliant Energy Corporation,Utilities
NYQ,LDOS,"Leidos Holdings, Inc.",Technology
NYQ,RE,"Everest Re Group, Ltd.",Financial Services
NYQ,KIM,Kimco Realty Corporation (HC),Real Estate
NMS,JKHY,"Jack Henry & Associates, Inc.",Technology
NMS,MTCH,"Match Group, Inc.",Communication Services
NYQ,BIO,"Bio-Rad Laboratories, Inc.",Healthcare
NYQ,EQT,EQT Corporation,Energy
NYQ,SNA,Snap-On Incorporated,Industrials
BTS,CBOE,"Cboe Global Markets, Inc.",Financial Services
NYQ,TYL,"Tyler Technologies, Inc.",Technology
NYQ,CE,Celanese Corporation Celanese C,Basic Materials
NYQ,PHM,"PulteGroup, Inc.",Consumer Cyclical
NMS,TECH,Bio-Techne Corp,Healthcare
NMS,STX,Seagate Technology Holdings PLC,Technology
NYQ,PKG,Packaging Corporation of Americ,Consumer Cyclical
NYQ,CPT,Camden Property Trust,Real Estate
NYQ,DPZ,Domino's Pizza Inc,Consumer Cyclical
NYQ,UDR,"UDR, Inc.",Real Estate
NMS,MKTX,"MarketAxess Holdings, Inc.",Financial Services
NYQ,MAS,Masco Corporation,Industrials
NMS,HST,Host Hotels,Real Estate
NYQ,GL,Globe Life Inc.,Financial Services
NMS,TTWO,"Take-Two Interactive Software, ",Communication Services
NYQ,CRL,Charles River Laboratories Inte,Healthcare
NYQ,EMN,Eastman Chemical Company,Basic Materials
NYQ,VFC,V.F. Corporation,Consumer Cyclical
NYQ,TPR,"Tapestry, Inc.",Consumer Cyclical
NYQ,UHS,"Universal Health Services, Inc.",Healthcare
NMS,WDC,Western Digital Corporation,Technology
NMS,NWS,News Corporation,Communication Services
NMS,NWSA,News Corporation,Communication Services
NMS,WYNN,"Wynn Resorts, Limited",Consumer Cyclical
NMS,REG,Regency Centers Corporation,Real Estate
NYQ,TFX,Teleflex Incorporated,Healthcare
NYQ,BXP,"Boston Properties, Inc.",Real Estate
NMS,HSIC,"Henry Schein, Inc.",Healthcare
NMS,QRVO,"Qorvo, Inc.",Technology
NMS,AAL,"American Airlines Group, Inc.",Industrials
NYQ,TAP,Molson Coors Beverage Company,Consumer Defensive
NMS,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials
NYQ,NI,NiSource Inc,Utilities
NYQ,KMX,CarMax Inc,Consumer Cyclical
NMS,DXCM,"DexCom, Inc.",Healthcare
NMS,NDAQ,"Nasdaq, Inc.",Financial Services
NYQ,BBWI,"Bath & Body Works, Inc.",Consumer Cyclical
NYQ,JNPR,"Juniper Networks, Inc.",Technology
NYQ,CDAY,Ceridian HCM Holding Inc.,Technology
NYQ,BWA,BorgWarner Inc.,Consumer Cyclical
NMS,CZR,"Caesars Entertainment, Inc.",Consumer Cyclical
NYQ,ALLE,Allegion plc,Industrials
NYQ,WRK,Westrock Company,Consumer Cyclical
NYQ,WHR,Whirlpool Corporation,Consumer Cyclical
NYQ,AOS,A.O. Smith Corporation,Industrials
NMS,HAS,"Hasbro, Inc.",Consumer Cyclical
NMS,FFIV,"F5, Inc.",Technology
NYQ,CMA,Comerica Incorporated,Financial Services
NYQ,HII,"Huntington Ingalls Industries, ",Industrials
NYQ,AAP,Advance Auto Parts Inc.,Consumer Cyclical
NYQ,IVZ,Invesco Ltd,Financial Services
NYQ,RL,Ralph Lauren Corporation,Consumer Cyclical
NYQ,CTLT,"Catalent, Inc.",Healthcare
NYQ,FRT,Federal Realty Investment Trust,Real Estate
NYQ,RHI,Robert Half International Inc.,Industrials
NYQ,PNW,Pinnacle West Capital Corporati,Utilities
NYQ,PNR,Pentair plc.,Industrials
NMS,FTNT,"Fortinet, Inc.",Technology
NYQ,OGN,Organon & Co.,Healthcare
NYQ,DVA,DaVita Inc.,Healthcare
NMS,XRAY,DENTSPLY SIRONA Inc.,Healthcare
NYQ,SEE,Sealed Air Corporation,Consumer Cyclical
NMS,ZION,Zions Bancorporation N.A.,Financial Services
NYQ,NRG,"NRG Energy, Inc.",Utilities
NMS,DISH,DISH Network Corporation,Communication Services
NYQ,MHK,"Mohawk Industries, Inc.",Consumer Cyclical
NMS,SBNY,Signature Bank,Financial Services
NYQ,DXC,DXC Technology Company,Technology
NYQ,GNRC,Generac Holdlings Inc.,Industrials
NYQ,AIZ,"Assurant, Inc.",Financial Services
NYQ,NCLH,Norwegian Cruise Line Holdings ,Consumer Cyclical
NMS,NWL,Newell Brands Inc.,Consumer Defensive
NYQ,ALK,"Alaska Air Group, Inc.",Industrials
NYQ,LUMN,"Lumen Technologies, Inc.",Communication Services
NYQ,LNC,Lincoln National Corporation,Financial Services
