Industry,Symbol
Aerospace & Defense,1
Airlines,1
Asset Management,1
Auto Manufacturers,1
Banks鈥擠iversified,1
Capital Markets,1
Confectioners,1
Consumer Electronics,1
Electronic Gaming & Multimedia,1
Information Technology Services,1
Internet Retail,1
Medical Care Facilities,1
Medical Distribution,1
REIT鈥擲pecialty,1
Semiconductors,2
Software鈥擨nfrastructure,1
Specialty Business Services,1
Telecom Services,1
Tobacco,1
